ID,유형,Method/Op,Path/Topic,Handler,Service/UseCase,입력,출력,Auth/AuthZ,상태변경,부수효과,멱등성,트랜잭션,테스트,근거
E046,HTTP,GET,/api/v1/ai/queue-stats,router.get (ai.js:389),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,미확인,[근거: backend/src/routes/ai.js | router.get | line 389]
E039,HTTP,GET,/api/v1/ai/dlq,router.get (ai.js:417),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,미확인,[근거: backend/src/routes/ai.js | router.get | line 417]
E040,HTTP,POST,/api/v1/ai/dlq/:messageId/reprocess,router.post (ai.js:438),ai,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 438]
E038,HTTP,DELETE,/api/v1/ai/dlq,router.delete (ai.js:463),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.delete | line 463]
E047,HTTP,GET,/api/v1/ai/rate-limit,router.get (ai.js:480),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,미확인,[근거: backend/src/routes/ai.js | router.get | line 480]
E051,HTTP,GET,/api/v1/ai/vision/health,router.get (ai.js:723),ai,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/routes/ai.js | router.get | line 723]
E050,HTTP,POST,/api/v1/ai/summarize,router.post (ai.js:744),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 744]
E048,HTTP,POST,/api/v1/ai/sketch,router.post (ai.js:775),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 775]
E045,HTTP,POST,/api/v1/ai/prism,router.post (ai.js:805),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 805]
E037,HTTP,POST,/api/v1/ai/chain,router.post (ai.js:831),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 831]
E041,HTTP,POST,/api/v1/ai/generate,router.post (ai.js:864),ai,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend AI, external LLM",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/ai.js | router.post | line 864]
E042,HTTP,GET,/api/v1/ai/generate/stream,router.get (ai.js:884),ai,"query/header,auth-context",SSE/stream Response,backend-key,아니오/읽기,"Backend AI, external LLM",읽기 멱등,없음,미확인,[근거: backend/src/routes/ai.js | router.get | line 884]
E057,HTTP,POST,/api/v1/analytics/view,router.post (analytics.js:39),analytics,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,D1/Postgres analytics,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/analytics.js | router.post | line 39]
E055,HTTP,GET,/api/v1/analytics/stats/:year/:slug,router.get (analytics.js:64),analytics,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,D1/Postgres analytics,읽기 멱등,없음,미확인,[근거: backend/src/routes/analytics.js | router.get | line 64]
E052,HTTP,GET,/api/v1/analytics/all-stats,router.get (analytics.js:79),analytics,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,D1/Postgres analytics,읽기 멱등,없음,미확인,[근거: backend/src/routes/analytics.js | router.get | line 79]
E053,HTTP,GET,/api/v1/analytics/editor-picks,router.get (analytics.js:94),analytics,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,D1/Postgres analytics,읽기 멱등,없음,미확인,[근거: backend/src/routes/analytics.js | router.get | line 94]
E056,HTTP,GET,/api/v1/analytics/trending,router.get (analytics.js:113),analytics,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,D1/Postgres analytics,읽기 멱등,없음,미확인,[근거: backend/src/routes/analytics.js | router.get | line 113]
E054,HTTP,POST,/api/v1/analytics/refresh-stats,router.post (analytics.js:126),analytics,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,D1/Postgres analytics,미흡: KV CAS 없음,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/analytics.js | router.post | line 126]
E065,HTTP,POST,/api/v1/chat/session,router.post (chat.js:273),chat,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/chat.js | router.post | line 273]
E066,HTTP,POST,/api/v1/chat/session/:sessionId/message,router.post (chat.js:307),chat,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/chat.js | router.post | line 307]
E064,HTTP,GET,/api/v1/chat/live/stream,router.get (chat.js:452),chat,"query/header,auth-context",SSE/stream Response,backend-key,아니오/읽기,"Backend chat, SSE/WS, AI",읽기 멱등,없음,미확인,[근거: backend/src/routes/chat.js | router.get | line 452]
E061,HTTP,POST,/api/v1/chat/live/message,router.post (chat.js:550),chat,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/chat.js | router.post | line 550]
E059,HTTP,GET,/api/v1/chat/live/config,router.get (chat.js:674),chat,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend chat, SSE/WS, AI",읽기 멱등,없음,미확인,[근거: backend/src/routes/chat.js | router.get | line 674]
E060,HTTP,PUT,/api/v1/chat/live/config,router.put (chat.js:692),chat,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/chat.js | router.put | line 692]
E062,HTTP,GET,/api/v1/chat/live/room-stats,router.get (chat.js:717),chat,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend chat, SSE/WS, AI",읽기 멱등,없음,미확인,[근거: backend/src/routes/chat.js | router.get | line 717]
E063,HTTP,GET,/api/v1/chat/live/rooms,router.get (chat.js:740),chat,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,"Backend chat, SSE/WS, AI",읽기 멱등,없음,미확인,[근거: backend/src/routes/chat.js | router.get | line 740]
E067,HTTP,POST,/api/v1/chat/session/:sessionId/task,router.post (chat.js:785),chat,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/chat.js | router.post | line 785]
E058,HTTP,POST,/api/v1/chat/aggregate,router.post (chat.js:878),chat,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,"Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/chat.js | router.post | line 878]
E101,HTTP,GET,/api/v1/public/posts/:year/:slug/translations/:targetLang,router.get (translate.js:112),translate,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/translate.js | router.get | line 112]
E102,HTTP,GET,/api/v1/public/posts/:year/:slug/translations/:targetLang/cache,router.get (translate.js:125),translate,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/translate.js | router.get | line 125]
E121,HTTP,POST,/api/v1/translate,router.post (translate.js:225),translate,"body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/translate.js | router.post | line 225]
E123,HTTP,GET,/api/v1/translate/:year/:slug/:targetLang,router.get (translate.js:233),translate,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/translate.js | router.get | line 233]
E124,HTTP,GET,/api/v1/translate/:year/:slug/:targetLang/status,router.get (translate.js:246),translate,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/translate.js | router.get | line 246]
E122,HTTP,DELETE,/api/v1/translate/:year/:slug/:targetLang,router.delete (translate.js:260),translate,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/translate.js | router.delete | line 260]
E084,HTTP,GET,/api/v1/memos/:userId,router.get (memos.js:38),memos,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,D1/R2 user state,읽기 멱등,없음,미확인,[근거: backend/src/routes/memos.js | router.get | line 38]
E085,HTTP,PUT,/api/v1/memos/:userId,router.put (memos.js:62),memos,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1/R2 user state,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/memos.js | router.put | line 62]
E087,HTTP,GET,/api/v1/memos/:userId/versions,router.get (memos.js:106),memos,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,D1/R2 user state,읽기 멱등,없음,미확인,[근거: backend/src/routes/memos.js | router.get | line 106]
E088,HTTP,GET,/api/v1/memos/:userId/versions/:version,router.get (memos.js:153),memos,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,D1/R2 user state,읽기 멱등,없음,미확인,[근거: backend/src/routes/memos.js | router.get | line 153]
E086,HTTP,POST,/api/v1/memos/:userId/restore/:version,router.post (memos.js:191),memos,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1/R2 user state,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/memos.js | router.post | line 191]
E083,HTTP,DELETE,/api/v1/memos/:userId,router.delete (memos.js:225),memos,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1/R2 user state,부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/memos.js | router.delete | line 225]
E129,HTTP,GET,/api/v1/user-content/personas,router.get (userContent.js:26),user-content,"query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,D1(user/session/preferences),읽기 멱등,없음,미확인,[근거: backend/src/routes/userContent.js | router.get | line 26]
E130,HTTP,POST,/api/v1/user-content/personas,router.post (userContent.js:68),user-content,"body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1(user/session/preferences),미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/userContent.js | router.post | line 68]
E132,HTTP,PUT,/api/v1/user-content/personas/:id,router.put (userContent.js:115),user-content,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1(user/session/preferences),미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/userContent.js | router.put | line 115]
E131,HTTP,DELETE,/api/v1/user-content/personas/:id,router.delete (userContent.js:171),user-content,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1(user/session/preferences),부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/userContent.js | router.delete | line 171]
E125,HTTP,GET,/api/v1/user-content/memos,router.get (userContent.js:202),user-content,"query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,"D1(user/session/preferences), D1/R2 user state",읽기 멱등,없음,미확인,[근거: backend/src/routes/userContent.js | router.get | line 202]
E126,HTTP,POST,/api/v1/user-content/memos,router.post (userContent.js:245),user-content,"body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,"D1(user/session/preferences), D1/R2 user state",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/userContent.js | router.post | line 245]
E128,HTTP,PUT,/api/v1/user-content/memos/:id,router.put (userContent.js:292),user-content,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,"D1(user/session/preferences), D1/R2 user state",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/userContent.js | router.put | line 292]
E127,HTTP,DELETE,/api/v1/user-content/memos/:id,router.delete (userContent.js:351),user-content,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,"D1(user/session/preferences), D1/R2 user state",부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/userContent.js | router.delete | line 351]
E094,HTTP,GET,/api/v1/og,router.get (og.js:15),og,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/og.js | router.get | line 15]
E012,HTTP,POST,/api/v1/admin/propose-new-version,router.post (admin.js:11),admin,"body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/admin.js | router.post | line 11]
E002,HTTP,POST,/api/v1/admin/archive-comments,router.post (admin.js:119),admin,"body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/admin.js | router.post | line 119]
E009,HTTP,POST,/api/v1/admin/create-post-pr,router.post (admin.js:247),admin,"body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/admin.js | router.post | line 247]
E095,HTTP,GET,/api/v1/posts,router.get (posts.js:214),posts,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/posts.js | router.get | line 214]
E098,HTTP,GET,/api/v1/posts/:year/:slug,router.get (posts.js:288),posts,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/posts.js | router.get | line 288]
E096,HTTP,POST,/api/v1/posts,router.post (posts.js:327),posts,"body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/posts.js | router.post | line 327]
E099,HTTP,PUT,/api/v1/posts/:year/:slug,router.put (posts.js:371),posts,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/posts.js | router.put | line 371]
E097,HTTP,DELETE,/api/v1/posts/:year/:slug,router.delete (posts.js:406),posts,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/posts.js | router.delete | line 406]
E100,HTTP,POST,/api/v1/posts/regenerate-manifests,router.post (posts.js:430),posts,"body/header,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/posts.js | router.post | line 430]
E077,HTTP,GET,/api/v1/images,router.get (images.js:177),images,"query/header,file/form,auth-context",JSON ApiResponse/Response,backend-key+admin,아니오/읽기,"R2, D1(attachments), AI vision?",읽기 멱등,없음,미확인,[근거: backend/src/routes/images.js | router.get | line 177]
E078,HTTP,POST,/api/v1/images/chat-upload,router.post (images.js:257),images,"body/header,file/form,auth-context",JSON ApiResponse/Response,backend-key+admin,예/조건부,"R2, D1(attachments), AI vision?, Backend chat, SSE/WS, AI",미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/images.js | router.post | line 257]
E116,HTTP,POST,/api/v1/rag/search,router.post (rag.js:314),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,external search,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 314]
E104,HTTP,POST,/api/v1/rag/embed,router.post (rag.js:427),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 427]
E105,HTTP,GET,/api/v1/rag/health,router.get (rag.js:443),rag,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/routes/rag.js | router.get | line 443]
E111,HTTP,POST,/api/v1/rag/memories/upsert,router.post (rag.js:512),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 512]
E110,HTTP,POST,/api/v1/rag/memories/search,router.post (rag.js:555),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,external search,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 555]
E108,HTTP,DELETE,/api/v1/rag/memories/:userId/:memoryId,router.delete (rag.js:614),rag,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.delete | line 614]
E109,HTTP,POST,/api/v1/rag/memories/batch-delete,router.post (rag.js:643),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 643]
E106,HTTP,POST,/api/v1/rag/index,router.post (rag.js:681),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 681]
E107,HTTP,DELETE,/api/v1/rag/index/:documentId,router.delete (rag.js:712),rag,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.delete | line 712]
E117,HTTP,GET,/api/v1/rag/status,router.get (rag.js:741),rag,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/rag.js | router.get | line 741]
E103,HTTP,GET,/api/v1/rag/collections,router.get (rag.js:800),rag,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/rag.js | router.get | line 800]
E115,HTTP,POST,/api/v1/rag/notebook/search,router.post (rag.js:831),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,external search,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 831]
E112,HTTP,POST,/api/v1/rag/notebook/ask,router.post (rag.js:848),rag,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,none observed/static,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/rag.js | router.post | line 848]
E114,HTTP,GET,/api/v1/rag/notebook/notebooks,router.get (rag.js:865),rag,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,미확인,[근거: backend/src/routes/rag.js | router.get | line 865]
E113,HTTP,GET,/api/v1/rag/notebook/health,router.get (rag.js:880),rag,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,none observed/static,읽기 멱등,없음,backend/test/readiness.test.js 일부,[근거: backend/src/routes/rag.js | router.get | line 880]
E079,HTTP,GET,/api/v1/memories/:userId,router.get (memories.js:24),memories,"params,query/header,auth-context",JSON ApiResponse/Response,backend-key+user,아니오/읽기,D1/R2 user state,읽기 멱등,없음,미확인,[근거: backend/src/routes/memories.js | router.get | line 24]
E080,HTTP,POST,/api/v1/memories/:userId,router.post (memories.js:88),memories,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1/R2 user state,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/memories.js | router.post | line 88]
E082,HTTP,POST,/api/v1/memories/:userId/batch,router.post (memories.js:124),memories,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1/R2 user state,미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/memories.js | router.post | line 124]
E081,HTTP,DELETE,/api/v1/memories/:userId/:memoryId,router.delete (memories.js:166),memories,"params,body/header,auth-context",JSON ApiResponse/Response,backend-key+user,예/조건부,D1/R2 user state,부분/조건부,repository/DB 단위; 명시 트랜잭션은 핸들러별,미확인,[근거: backend/src/routes/memories.js | router.delete | line 166]
E135,HTTP,POST,/api/v1/user/session,router.post (user.js:125),user,"body/header,auth-context",JSON ApiResponse/Response,backend-key,예/조건부,D1(user/session/preferences),미보장/핸들러별 확인 필요,repository/DB 단위; 명시 트랜잭션은 핸들러별,workers/api-gateway/test/user-session-contract.test.ts,[근거: backend/src/routes/user.js | router.post | line 125]
E137,HTTP,GET,/api/v1/user/session/verify,router.get (user.js:257),user,"query/header,auth-context",JSON ApiResponse/Response,backend-key,아니오/읽기,D1(user/session/preferences),읽기 멱등,없음,workers/api-gateway/test/user-session-contract.test.ts,[근거: backend/src/routes/user.js | router.get | line 257]
